"","PWS.ID","PWS.Name.x","Counties.Served.x","PWS.Type.2015","PWS.Name.y","PWS.Type","Counties.Served.y"
"471","CA1710016",NA,NA,NA,"KONOCTI HARBOR RESORT AND SPA","Non-Transient non-community system","Lake"
"472","CA2300970",NA,NA,NA,"THE MADRONES","Transient non-community system","Mendocino"
"473","CA2800538",NA,NA,NA,"CARNEROS INN","Community water system","Napa"
"474","CA0400155",NA,NA,NA,"BIGGERS GLEN MUTUAL WATER CO","Community water system","Butte"
"475","CA2703132",NA,NA,NA,"CYPRESS MANUFACTURING CO WS","Non-Transient non-community system","Monterey"
"476","CA2300760",NA,NA,NA,"MENDOCINO GROVE","Transient non-community system","Mendocino"
"477","CA2600556",NA,NA,NA,"CROWLEY LAKE CAMPGROUND (BLM)","Transient non-community system","Mono"
"478","CA5403208",NA,NA,NA,"SOULTS PUMP & EQUIPMENT COMPANY","Non-Transient non-community system","Tulare"
"479","CA1100104",NA,NA,NA,"WILLOW CREEK CHRISTIAN SCHOOL","Non-Transient non-community system","Glenn"
"480","CA1000627",NA,NA,NA,"ZONNEVELD DAIRY - CERINI","Community water system","Fresno"
"481","CA1300554",NA,NA,NA,"MEADOWS UNION ELEMENTARY SCHOOL","Non-Transient non-community system","Imperial"
"482","CA0400065",NA,NA,NA,"SPRING VALLEY SCHOOL","Non-Transient non-community system","Butte"
"483","CA5200710",NA,NA,NA,"DOLLAR GENERAL PROBERTA","Transient non-community system","Tehama"
"484","CA3601187",NA,NA,NA,"ROUTE 66 MARKET","Transient non-community system","San Bernardino"
"485","CA2800070",NA,NA,NA,"BEHRENS FAMILY WINERY","Transient non-community system","Napa"
"486","CA1503683",NA,NA,NA,"PEAK TO PEAK MOUNTAIN CHARTER SCHOOL WS","Non-Transient non-community system","Kern"
"487","CA2000963",NA,NA,NA,"MADERA VALLEY MARKET, LP","Transient non-community system","Madera"
"488","CA2701964",NA,NA,NA,"QLORA-SPENCE RD WS","Non-Transient non-community system","Monterey"
"489","CA5000601",NA,NA,NA,"BEST RV CENTER","Non-Transient non-community system","Stanislaus"
"490","CA3400475",NA,NA,NA,"HEDGE TRAINING FACILITY","Non-Transient non-community system","Sacramento"
"491","CA2600581",NA,NA,NA,"SAN GABRIEL VALLEY FAMILY CENTER","Transient non-community system","Mono"
"492","CA0605013",NA,NA,NA,"T&P FARMS","Transient non-community system","Colusa"
"493","CA1300686",NA,NA,NA,"SIDEWINDER CHEVRON","Transient non-community system","Imperial"
"494","CA1800632",NA,NA,NA,"POINT HORIZON INSTITUTE","Transient non-community system","Lassen"
"495","CA5000600",NA,NA,NA,"MID VALLEY NUT CO","Non-Transient non-community system","Stanislaus"
"496","CA3107343",NA,NA,NA,"STEPHENS RANCH LLC AQUA","Transient non-community system","Placer"
"497","CA2400342",NA,NA,NA,"CALIFORNIA FRESH FARMS","Non-Transient non-community system","Merced"
"498","CA5700522",NA,NA,NA,"MINER'S LEAP WINERY","Transient non-community system","Yolo"
"499","CA2600571",NA,NA,NA,"MCGEE CREEK LODGE","Transient non-community system","Mono"
"500","CA2300902",NA,NA,NA,"GOLDENEYE WINERY","Transient non-community system","Mendocino"
"501","CA2904010",NA,NA,NA,"OLYMPIA PARK WATER SYSTEM","Transient non-community system","Nevada"
"502","CA2700889",NA,NA,NA,"JACKS RANCH-RESERVATION ROAD WS","Transient non-community system","Monterey"
"503","CA2000380",NA,NA,NA,"AGNEW MEADOWS CAMPGROUND","Transient non-community system","Madera"
"504","CA4500331",NA,NA,NA,"WHITMORE STORE","Transient non-community system","Shasta"
"505","CA1503664",NA,NA,NA,"SOLEDAD MOUNTAIN PROJECT WATER SYSTEM","Non-Transient non-community system","Kern"
"506","CA5700516",NA,NA,NA,"HERINGER ESTATES WINERY","Transient non-community system","Yolo"
"507","CA4500346",NA,NA,NA,"CAMP MCCUMBER WATER SYSTEM","Transient non-community system","Shasta"
"508","CA4901460",NA,NA,NA,"MACDONALD BUNKHOUSE","Transient non-community system","Sonoma"
"509","CA4000837",NA,NA,NA,"PLAYA DULCE","Non-Transient non-community system","San Luis Obispo"
"510","CA1000649",NA,NA,NA,"FRESNO MEMORIAL GARDENS","Transient non-community system","Fresno"
"511","CA4901474",NA,NA,NA,"BACCHUS LANDING CELLARS","Transient non-community system","Sonoma"
"512","CA4000203",NA,NA,NA,"IRISH HILLS MUTUAL WATER CO","Community water system","San Luis Obispo"
"513","CA5000593",NA,NA,NA,"RBVON","Non-Transient non-community system","Stanislaus"
"514","CA3310084",NA,NA,NA,"DESERT SAGE YOUTH WELLNESS CENTER","Non-Transient non-community system","Riverside"
"515","CA2400343",NA,NA,NA,"GEMPERLE EGG RANCH","Non-Transient non-community system","Merced"
"516","CA2400335",NA,NA,NA,"OLIVARES FARMS WATER SYSTEM","Non-Transient non-community system","Merced"
"517","CA1504007",NA,NA,NA,"JASMINE VINEYARDS COLD STORAGE","Non-Transient non-community system","Kern"
"518","CA1504002",NA,NA,NA,"JASMINE VINEYARDS","Transient non-community system","Kern"
"519","CA5000596",NA,NA,NA,"GROWERS DIRECT NUT COMPANY","Non-Transient non-community system","Stanislaus"
